,id,host_id,comuna,latitude,longitude,bathrooms,bedrooms,beds,price,cleaning_fee,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,total_price,tipo,ingresos_25p,ingresos_50p,ingresos_75p,ingresos_100p
1599,11083992,20246357,Santiago,-33.44305,-70.64643000000001,1,1,2.0,26810.0,12064.0,29,59,89,364,1,100.0,38874.0,1D+1B,280164.0,414214.0,548264.0,816364.0
1601,11097656,57630159,Providencia,-33.42854000000001,-70.61814,1,1,1.0,25469.0,18000.0,0,0,0,0,15,90.0,43469.0,1D+1B,272690.0,400035.0,527380.0,782070.0
1603,11122644,57790320,Las Condes,-33.39882,-70.57361,1,1,1.0,37534.0,25000.0,0,0,0,195,48,99.0,62534.0,1D+1B,400340.0,588010.0,775680.0,1151020.0
1604,11147142,57945643,Santiago,-33.44385,-70.64488,1,1,2.0,34853.0,25000.0,12,40,64,325,121,99.0,59853.0,1D+1B,373530.0,547795.0,722060.0,1070590.0
1605,11152234,28017214,Providencia,-33.42515,-70.61125,1,1,1.0,43566.0,0.0,30,60,90,365,2,90.0,43566.0,1D+1B,435660.0,653490.0,871320.0,1306980.0
1607,11161361,264242,Santiago,-33.43702,-70.65471,2,2,4.0,20778.0,30000.0,0,0,0,0,3,100.0,50778.0,2D+2B,237780.0,341670.0,445560.0,653340.0
1608,11165195,34135853,Santiago,-33.44029,-70.65051,1,1,1.0,28150.0,0.0,29,59,89,364,1,100.0,28150.0,1D+1B,281500.0,422250.0,563000.0,844500.0
1609,11167772,57122464,Vitacura,-33.39742,-70.58966,2,2,3.0,90484.0,26810.0,0,0,0,0,8,83.0,117294.0,2D+2B,931650.0,1384070.0,1836490.0,2741330.0
1612,11183941,39185761,Recoleta,-33.43282,-70.64119000000001,1,1,1.0,24799.0,18097.0,5,31,61,321,131,95.0,42896.0,1D+1B,266087.0,390082.0,514077.0,762067.0
1613,11189226,58246905,Santiago,-33.45044,-70.65401999999999,1,1,2.0,24799.0,19437.0,6,17,42,269,128,99.0,44236.0,1D+1B,267427.0,391422.0,515417.0,763407.0
1614,11189257,58247868,Santiago,-33.44358,-70.64461,1,1,2.0,34853.0,25000.0,19,49,79,354,102,98.0,59853.0,1D+1B,373530.0,547795.0,722060.0,1070590.0
